失踪的孩子,[意]埃莱娜费莱特,207年10月,人民文学出版社,9.1,62.00
房思琪的初恋乐园,林奕含,2018年1月,北京联合出版公司,9.2,45.00
梦的化石,[日]今敏,2018年11月,北京联合出版公司,7.9,108.00
回答不了,匡扶,2018年10月,浙江文艺出版社,8.4,59.00
今日简史,以尤瓦尔,2018年8月,中信集团集团,8.1,54.40
遮蔽的天空,[美]保罗·鲍尔斯,2018年9月,江苏凤凰文艺出版社,7.9,49.00
原则,[美]瑞·达利欧,2018年1月,中信出版社,8.4,98.00
老后破产,NHK特别节目录制组,2018年8月,上海译文出版社,7.7,38.00
椰壳碗外的人生,[美]本尼迪克特·安德森,2018年8月,世纪文景,8.8,49.80
巴菲特致股东的信,[美]沃伦·巴菲特,2018年3月,机械工业出版社,9.1,99.00
鱼翅与花椒,[英]扶霞·邓洛普,2018年7月,上海译文出版社,8.3,48.00
